,year,month,intent,police,sex,age,race,hispanic,place,education
210,12,2,0,0,0,58,1,100,5,3
211,12,1,0,0,0,67,3,100,0,4
212,12,2,1,0,1,18,3,100,1,1
213,12,2,1,0,1,32,3,100,1,2
214,12,2,0,0,0,69,1,100,0,2
215,12,2,0,0,0,84,1,100,5,3
216,12,2,1,0,1,31,3,100,0,2
217,12,2,1,0,0,42,3,100,0,1
218,12,2,0,0,0,20,1,100,0,3
219,12,2,0,0,0,48,1,100,0,4
220,12,2,0,0,0,54,1,100,0,2
221,12,2,0,0,1,37,1,100,5,3
222,12,1,0,0,0,56,1,100,0,2
223,12,2,1,0,0,34,3,100,3,3
224,12,2,0,0,1,20,1,100,2,3
225,12,2,0,0,0,72,3,100,0,1
226,12,1,0,0,0,55,1,100,0,2
227,12,2,0,0,0,35,1,100,0,3
228,12,1,0,0,1,17,1,100,5,1
229,12,3,0,0,0,37,1,100,0,2
230,12,1,1,0,0,42,3,100,5,2
231,12,2,1,0,0,47,3,100,0,2
232,12,2,0,0,0,82,1,100,0,3
233,12,2,2,0,0,25,1,100,5,4
234,12,3,1,0,1,28,1,100,0,2
235,12,2,0,0,0,38,1,100,0,3
236,12,3,0,0,0,49,3,100,5,2
237,12,3,0,0,0,36,3,100,0,4
238,12,2,0,0,0,29,1,100,5,3
239,12,2,0,0,0,75,1,100,5,2
240,12,3,0,0,0,57,1,100,0,1
241,12,2,0,0,0,49,3,100,5,2
242,12,3,0,0,0,73,1,100,5,2
243,12,2,0,0,0,53,1,100,0,1
244,12,3,0,0,1,24,1,100,5,4
245,12,3,1,0,0,45,3,100,0,2
246,12,3,0,0,0,52,1,100,0,3
247,12,3,0,0,0,81,1,100,0,2
248,12,3,1,0,0,31,3,100,4,1
249,12,2,0,0,0,32,3,100,5,1
250,12,2,1,0,0,46,3,100,0,4
251,12,2,0,0,1,65,1,100,0,2
252,12,2,1,0,0,18,3,100,4,2
253,12,3,1,0,0,15,3,100,0,1
254,12,3,0,0,0,49,1,100,0,4
255,12,3,0,0,0,51,1,100,5,3
256,12,1,1,0,0,29,3,100,5,2
257,12,3,0,0,0,62,1,100,3,4
258,12,3,0,0,0,33,4,211,0,2
259,12,3,0,0,0,78,1,100,5,4
260,12,2,0,0,0,58,1,100,0,3
261,12,3,0,0,0,34,1,100,2,3
262,12,1,0,0,0,82,1,100,5,2
263,12,3,0,0,0,23,3,100,5,2
264,12,3,0,0,0,83,1,100,5,3
265,12,2,0,0,0,50,3,100,0,1
266,12,3,0,0,0,13,1,100,0,1
267,12,3,1,0,0,17,3,100,0,1
268,12,3,0,0,0,30,1,100,0,2
269,12,3,0,0,0,63,1,100,2,2
270,12,3,0,0,0,64,1,100,1,3
271,12,3,0,0,0,40,1,100,3,4
272,12,3,0,0,0,42,1,100,5,3
273,12,2,1,0,0,32,3,100,1,1
274,12,3,1,0,0,21,1,100,0,2
275,12,3,0,0,0,37,1,100,0,2
276,12,3,0,0,0,49,1,100,1,1
277,12,3,0,0,0,37,1,100,5,2
278,12,2,0,0,0,83,1,100,0,3
279,12,3,0,0,1,54,1,100,0,2
280,12,4,0,0,0,72,1,100,0,4
281,12,3,0,0,0,74,1,100,0,3
282,12,3,1,0,0,54,3,100,0,2
283,12,3,0,0,0,34,3,100,0,2
284,12,4,0,0,0,74,1,100,0,2
285,12,2,1,0,0,24,3,100,5,2
286,12,3,0,0,0,46,1,100,0,4
287,12,3,0,0,0,48,3,100,0,1
288,12,3,0,0,0,55,1,100,0,1
289,12,3,0,0,0,48,1,100,5,1
290,12,3,2,0,0,17,3,100,0,1
291,12,3,0,0,0,26,1,100,5,2
292,12,3,1,0,0,19,3,100,0,1
293,12,3,0,0,0,40,1,100,5,2
294,12,3,0,0,0,42,3,100,3,2
295,12,3,0,0,0,48,3,100,5,3
296,12,2,1,0,0,21,1,100,1,1
297,12,3,1,0,0,25,3,100,1,2
298,12,3,1,0,0,30,3,100,1,3
299,12,3,0,0,0,23,1,100,5,2
300,12,4,0,0,0,23,1,100,0,2
301,12,4,0,0,0,49,1,100,0,4
302,12,4,0,0,0,30,1,100,2,4
303,12,4,0,0,0,64,1,100,0,2
304,12,3,0,0,0,47,1,100,5,4
305,12,3,1,0,1,68,1,100,5,1
306,12,3,0,0,0,68,1,100,5,4
307,12,3,0,0,0,27,1,100,3,2
308,12,3,0,0,0,29,3,100,0,3
309,12,3,1,0,1,31,3,100,0,1
310,12,4,0,0,1,40,1,100,0,3
311,12,4,0,0,0,41,1,100,0,2
312,12,3,1,0,0,33,3,100,0,1
313,12,4,1,0,0,48,1,100,3,1
314,12,4,0,0,0,19,1,100,5,1
315,12,3,0,0,0,52,1,100,0,2
316,12,4,0,0,0,75,1,100,0,1
317,12,3,0,0,0,21,1,100,5,3
318,12,4,2,0,0,24,1,100,5,2
319,12,4,0,0,0,37,1,100,0,2
320,12,4,0,0,1,37,1,100,0,3
321,12,4,1,0,0,43,1,100,0,2
322,12,4,0,0,0,53,1,100,0,2
323,12,3,0,0,0,43,3,100,0,4
324,12,3,0,0,1,43,1,100,2,3
325,12,4,0,0,0,28,1,100,5,2
326,12,3,1,0,0,19,3,100,5,2
327,12,3,0,0,0,54,1,100,0,4
328,12,4,0,0,0,86,1,100,0,1
329,12,4,0,0,0,37,1,100,0,1
330,12,4,1,0,0,17,3,100,0,1
331,12,4,0,0,1,46,1,100,0,3
332,12,4,0,0,0,54,1,100,0,1
333,12,4,0,0,0,52,1,100,0,3
334,12,4,1,0,1,44,1,100,0,2
335,12,4,0,0,1,40,1,100,2,4
336,12,4,1,0,1,24,3,100,5,2
337,12,4,0,0,0,22,1,100,5,1
338,12,4,0,0,1,69,1,100,0,2
339,12,4,0,0,0,47,1,100,5,4
340,12,4,0,0,1,32,1,100,0,1
341,12,4,0,0,0,21,1,100,0,2
342,12,4,1,0,0,26,3,100,3,1
343,12,4,0,0,0,63,1,100,0,2
344,12,4,1,0,0,28,3,100,2,2
345,12,4,0,0,0,72,1,100,0,1
346,12,3,0,0,0,57,3,100,0,4
347,12,4,0,0,0,52,1,100,0,3
348,12,4,0,0,0,69,1,100,0,4
349,12,4,0,0,0,50,1,100,0,3
350,12,4,0,0,0,40,1,100,0,2
351,12,4,1,0,0,36,3,100,0,2
352,12,4,0,0,0,40,1,100,5,2
353,12,3,0,0,0,28,3,100,5,2
354,12,3,1,0,0,21,3,100,2,1
355,12,4,2,0,0,53,3,100,5,2
356,12,4,0,0,0,16,1,100,0,1
357,12,4,0,0,1,29,3,100,1,3
358,12,4,0,0,1,48,1,100,1,4
359,12,4,0,0,0,32,3,100,0,2
360,12,4,0,0,0,20,3,100,0,1
361,12,4,1,0,0,20,3,100,1,2
362,12,4,0,0,0,39,1,100,1,1
363,12,4,0,0,0,19,1,100,0,2
364,12,3,1,0,0,44,3,100,0,3
365,12,5,2,0,0,63,1,100,0,1
366,12,5,1,0,0,17,3,100,0,2
367,12,5,0,0,0,43,1,100,0,3
368,12,5,1,0,0,47,3,100,0,2
369,12,4,1,0,0,29,3,100,0,2
370,12,5,0,0,0,75,3,100,0,2
371,12,3,1,0,0,22,3,100,1,1
372,12,3,1,0,0,28,3,100,5,2
373,12,4,0,0,0,18,1,100,0,1
374,12,5,0,0,0,84,1,100,0,2
375,12,5,0,0,0,29,1,100,0,2
376,12,5,0,0,0,20,3,100,5,3
377,12,5,0,0,0,18,1,100,0,1
378,12,5,1,0,1,30,1,100,5,2
379,12,5,0,0,0,50,1,100,0,2
380,12,5,0,0,0,36,1,100,1,3
381,12,5,0,0,0,88,1,100,0,2
382,12,5,0,0,0,29,1,100,0,1
383,12,5,0,0,0,87,1,100,0,4
384,12,4,1,0,0,13,3,100,2,1
385,12,4,1,0,1,17,1,100,0,2
386,12,5,0,0,0,40,1,100,0,3
387,12,5,1,0,1,20,0,100,0,3
388,12,5,0,0,0,58,1,100,1,4
389,12,5,0,0,0,25,1,100,0,3
390,12,5,0,0,0,34,1,100,2,4
391,12,5,0,0,0,26,1,100,0,2
392,12,5,0,0,1,44,1,100,1,1
393,12,4,1,0,0,44,3,100,1,2
394,12,5,0,0,0,74,1,100,5,4
395,12,5,0,0,0,82,1,100,5,3
396,12,5,1,0,0,27,1,100,2,2
